SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EAW_DC_0_4,T_LPLFS_HNS_DC_0_4,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_U_T_DC_0_4,T_LPLFS_T_LF_DC_0_4,T_LPLFS_NLF_DC_0_4,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_Tot_DC_0_4
201011001,27,0,0,36,0,3,3,34,47,0,82
201011002,23,4,0,32,7,0,9,39,35,0,77
201011003,53,3,0,71,8,12,18,87,110,0,198
201011004,67,12,0,108,3,17,22,126,261,5,388
201011005,6,0,0,9,0,0,0,9,17,0,29
201011006,23,4,0,28,0,7,10,38,52,0,89
201011007,0,0,0,3,0,4,4,9,3,0,15
201011008,36,3,0,50,0,16,16,63,159,0,227
201021009,7,0,0,16,0,0,0,17,25,0,39
201021010,12,0,0,13,3,0,3,18,33,0,50
201021011,11,4,0,23,0,0,0,24,31,0,52
201021012,7,0,0,7,0,0,0,15,19,4,36
201031013,0,0,0,0,0,0,0,0,13,0,8
201031014,11,0,0,15,0,0,3,18,15,0,33
201031015,3,3,0,7,0,0,0,7,21,0,25
201031016,16,0,0,16,3,5,9,22,85,0,114
201031017,9,3,0,8,0,3,5,14,22,0,42
202011018,27,7,0,50,0,19,21,70,137,0,201
202011019,34,6,0,51,4,14,20,67,144,4,218
202011020,26,3,0,33,7,4,5,45,77,0,125
202011021,16,3,0,22,0,0,0,25,58,0,88
202011022,47,4,4,72,4,4,7,80,159,0,241
202011023,6,3,0,11,0,0,0,11,12,0,27
202011024,14,3,0,20,0,0,0,24,20,0,45
202011025,54,18,0,92,4,7,13,98,63,0,164
202021026,11,0,0,16,0,3,3,19,19,0,36
202021027,15,0,0,16,0,0,0,23,53,0,73
202021028,6,0,0,6,0,0,0,6,21,0,26
202021029,0,0,0,0,0,0,0,0,27,0,29
202021030,22,0,0,29,0,3,3,29,24,0,54
202021031,5,0,0,11,0,0,0,11,14,0,32
202031032,12,0,0,12,0,0,0,9,27,0,40
202031033,3,0,0,3,0,0,0,3,34,0,40
203011034,5,0,0,11,0,0,0,11,20,0,31
203011035,5,0,0,9,0,0,3,10,15,0,29
203011036,6,0,0,5,0,0,0,5,25,0,27
203021037,19,4,0,37,0,7,7,42,48,0,83
203021038,75,13,3,113,11,25,32,148,406,5,561
203021039,21,0,0,37,0,3,3,42,61,0,97
203021040,32,7,0,51,0,3,3,52,66,3,123
203021041,60,7,0,89,5,0,4,95,73,0,170
203021042,25,0,0,41,0,4,4,54,36,0,84
203021043,48,5,4,72,0,0,0,72,70,0,138
203021044,44,5,0,60,3,11,13,72,53,0,123
203021045,28,14,0,61,3,7,6,69,116,6,188
203021046,8,0,0,16,0,0,0,21,17,0,36
203021047,35,4,0,54,7,5,13,72,78,4,148
203031048,27,3,0,42,0,0,0,43,76,0,120
203031049,0,3,0,10,0,0,0,10,3,0,16
203031050,40,0,0,60,0,3,10,66,72,0,136
203031051,6,0,0,19,0,0,0,25,30,0,51
203031052,0,0,0,3,0,0,0,3,3,0,4
203031053,33,5,0,44,0,0,0,49,12,0,61
204011054,3,0,0,10,0,0,0,10,16,0,19
204011055,16,0,0,20,0,4,4,27,32,0,54
204011056,31,0,0,43,0,3,7,52,81,0,129
204011057,10,0,0,20,0,0,0,20,17,3,37
204011058,3,0,0,6,0,0,0,9,19,0,24
204011059,7,0,0,13,3,3,9,23,71,0,91
204011060,0,0,0,11,0,0,0,11,7,0,16
204011061,0,0,0,0,0,0,0,0,0,0,0
204011062,4,0,0,3,0,0,0,7,7,0,9
204021063,25,0,0,34,0,5,8,37,96,0,134
204021064,0,0,0,3,0,0,0,4,13,0,22
204021065,3,0,0,8,0,0,0,7,15,0,24
204021066,41,8,0,63,4,10,14,77,120,9,196
204021067,13,0,3,18,0,0,0,19,21,0,40
204031068,11,0,0,20,0,6,6,27,12,0,36
204031069,18,0,0,22,0,0,0,28,12,0,35
204031070,7,0,0,8,0,0,0,8,8,0,22
204031071,3,3,0,10,0,0,0,10,18,5,35
204031072,6,0,0,6,0,0,0,9,18,0,27
204031073,49,8,3,78,5,8,14,93,111,3,207
204031074,61,6,4,94,13,20,32,130,157,4,294
204031075,3,0,0,10,0,0,0,10,10,0,22
205011076,28,7,3,47,3,6,4,60,95,0,150
205011077,4,0,3,11,0,0,0,8,21,0,33
205011078,21,4,0,37,0,0,0,39,37,0,73
205011079,24,5,0,39,0,8,10,50,102,0,153
205021080,0,0,0,0,0,0,0,0,0,0,0
205021081,32,0,0,41,4,9,14,51,118,4,173
205021082,15,0,0,18,0,0,0,18,15,0,31
205021083,0,0,0,0,0,0,0,0,0,0,0
205021084,13,3,3,24,0,0,3,25,47,0,69
205021085,9,0,0,16,0,0,0,16,24,0,41
205021086,5,3,4,15,0,0,0,15,29,0,43
205031087,6,3,4,17,0,0,0,14,19,0,34
205031088,0,0,0,0,0,0,0,0,0,0,0
205031089,7,0,0,9,0,7,10,18,53,0,67
205031090,19,0,0,27,0,4,4,30,42,0,79
205031091,20,3,0,33,3,0,3,31,51,0,81
205031092,0,0,0,0,0,0,0,0,0,0,0
205031093,43,8,0,71,4,8,8,82,129,9,218
205041094,17,3,0,35,3,4,6,37,84,0,123
205041095,41,8,3,61,11,5,19,77,167,3,244
205041096,27,0,3,44,9,16,24,63,213,8,282
205041097,51,16,3,98,10,13,20,119,176,3,292
205041098,7,3,0,14,0,3,3,13,29,0,42
205051099,0,0,0,0,0,0,0,0,0,0,0
205051100,15,0,0,11,0,0,0,11,13,0,31
205051101,24,5,3,46,0,6,10,54,77,0,131
205051102,3,0,0,9,0,0,0,12,14,0,22
205051103,39,3,0,62,4,7,11,75,90,0,164
205051104,14,0,0,14,0,0,0,11,38,0,47
206011105,22,0,0,37,0,0,4,37,35,0,73
206011106,12,4,3,22,0,0,0,24,10,0,34
206011107,16,3,0,27,0,4,7,34,22,0,56
206011108,24,4,0,39,4,0,3,49,45,0,90
206011109,11,0,0,13,0,3,3,13,16,0,29
206021110,8,0,0,16,0,0,0,19,15,0,34
206021111,32,3,0,47,0,0,4,54,21,0,69
206021112,28,6,0,47,0,0,0,52,36,0,86
206031113,17,0,0,32,9,3,11,38,83,3,121
206031114,18,3,0,39,6,0,4,45,38,0,82
206031115,17,0,3,31,0,3,5,35,77,0,111
206031116,7,0,0,13,0,0,3,17,11,0,32
206041117,5,0,0,18,0,4,4,21,60,5,84
206041118,0,3,0,22,0,0,0,19,11,0,27
206041119,0,3,0,8,0,0,0,8,3,0,12
206041120,0,0,0,0,0,0,0,0,0,0,0
206041121,9,4,0,20,3,3,6,26,25,0,53
206041122,8,0,0,22,0,3,3,23,34,0,61
206041123,11,0,3,30,0,3,3,35,72,4,117
206041124,3,0,0,6,0,0,0,6,9,0,16
206041125,0,0,0,9,0,0,0,9,6,0,15
206041126,9,0,0,25,3,0,3,25,13,0,41
206041127,0,0,0,0,0,0,0,0,0,0,0
206051128,3,3,0,15,0,3,3,16,9,0,25
206051129,30,3,0,49,0,0,0,47,22,0,72
206051130,13,0,0,27,3,4,5,31,41,0,76
206051131,0,0,0,0,0,0,0,0,0,0,0
206051132,7,0,0,18,0,3,3,19,36,3,56
206051133,10,3,0,34,4,0,4,31,18,0,49
206051134,22,3,0,37,0,0,5,36,13,0,55
206061135,13,0,0,25,0,0,0,25,9,0,33
206061136,12,3,0,23,0,4,5,30,21,0,53
206061137,9,0,0,25,3,0,3,28,36,0,65
206061138,8,0,0,13,0,0,0,13,15,0,33
206071139,6,0,0,12,0,0,0,18,5,0,23
206071140,8,5,0,21,0,0,3,23,14,0,36
206071141,10,0,0,16,5,0,6,23,77,8,107
206071142,3,0,3,12,4,8,13,22,78,0,107
206071143,12,3,0,23,0,0,0,26,26,0,54
206071144,17,0,0,25,0,7,4,35,118,7,156
206071145,3,0,0,12,0,0,0,10,14,0,24
207011146,3,0,0,3,0,0,0,3,20,0,26
207011147,21,4,0,31,0,0,4,36,40,0,69
207011148,12,0,0,21,3,0,4,28,28,0,48
207011149,18,0,0,34,0,4,4,40,22,0,60
207011150,15,0,0,23,0,0,0,23,10,0,33
207011151,9,3,0,16,0,3,4,16,18,0,35
207011152,11,4,0,24,0,0,0,24,11,0,34
207011153,16,0,0,30,3,0,3,28,19,0,48
207011154,3,0,0,3,0,0,0,3,10,0,13
207011155,3,3,0,13,0,0,0,13,4,0,17
207021156,7,0,3,18,0,0,0,18,20,0,36
207021157,9,3,0,28,0,0,0,27,43,0,67
207021159,7,0,0,26,6,0,4,32,15,0,47
207021160,9,3,4,21,0,0,0,24,23,0,45
207021424,12,3,0,21,4,0,4,25,15,0,38
207021425,12,0,0,26,0,0,0,28,35,0,64
207031161,21,0,0,34,0,0,0,35,28,0,63
207031162,8,0,0,10,0,0,0,11,24,0,38
207031163,13,0,0,23,4,0,8,31,22,3,60
207031164,14,4,0,30,3,3,3,34,32,0,61
207031165,7,3,0,13,0,0,0,13,18,0,31
207031166,3,3,0,14,0,3,3,12,18,0,29
207031167,4,0,0,11,0,0,0,7,3,0,19
208011168,3,0,0,10,0,3,3,14,3,0,12
208011169,14,0,0,41,0,0,0,39,28,0,69
208011170,18,5,0,32,0,0,0,34,13,0,47
208011171,6,0,0,15,0,0,0,15,26,0,38
208011172,13,0,0,24,3,3,3,25,28,4,60
208011173,7,0,0,20,0,0,0,20,21,0,43
208021174,18,3,0,37,0,0,0,39,28,3,70
208021176,14,3,0,28,0,0,3,24,17,0,41
208021177,23,6,0,40,0,0,0,37,26,0,67
208021178,15,4,0,21,0,3,3,29,18,0,39
208021179,7,0,0,17,0,0,0,17,11,0,28
208021180,10,0,3,15,0,0,3,14,8,0,25
208021181,0,0,0,9,0,0,0,9,3,0,10
208021182,10,0,0,32,0,0,0,29,9,0,39
208021426,17,0,0,27,0,3,3,30,27,0,58
208021427,15,5,0,40,0,0,0,42,20,0,58
208031183,6,0,0,20,0,0,0,16,6,0,23
208031184,0,0,0,0,0,0,0,0,0,0,0
208031185,16,3,0,31,0,3,3,35,38,6,76
208031186,22,0,0,28,0,3,3,36,49,0,82
208031187,3,0,0,12,0,0,0,12,16,0,26
208031188,17,0,0,50,0,0,3,51,36,0,85
208031189,24,0,0,35,0,0,0,35,23,0,60
208031190,13,0,0,28,0,3,3,29,10,0,42
208031191,9,0,0,17,0,0,3,24,11,0,37
208031192,0,0,0,0,0,0,0,0,0,0,0
208031193,13,6,0,38,0,3,3,41,36,0,76
208041194,14,4,0,30,0,0,0,30,21,0,49
208041195,18,0,0,27,0,0,4,27,9,0,39
209011196,15,3,5,21,0,0,0,25,29,0,48
209011197,26,3,0,46,0,0,0,43,45,0,89
209011198,13,0,0,24,0,0,0,28,26,0,48
209011199,25,3,4,45,0,9,9,48,94,0,147
209011200,8,0,0,14,3,0,3,16,5,0,21
209011201,3,0,0,11,0,0,0,11,3,0,10
209011202,19,0,0,28,0,3,3,30,24,0,57
209011203,27,0,0,39,0,0,3,39,28,3,72
209011204,9,0,0,13,0,0,0,16,21,0,37
